Timestamp,Email Address,Géopole / Geopole ,Niveau d'études / Level of study,Depuis combien de temps êtes-vous membre étudiant du CSBQ? / How long have you been a student member of the QCBS?,Ça fait combien de temps depuis que vous êtes membre étudiant du CSBQ? / How long has it been since you were a QCBS student member?,Que faites-vous maintenant? / What do you do now?,Quel impact a eu le CSBQ sur votre parcours académique et/ou votre carrière jusqu'à maintenant? / What impact did the QCBS have on your academic and/or professional career so far? [Ateliers R / R workshops],"Quel impact a eu le CSBQ sur votre parcours académique et/ou votre carrière jusqu'à maintenant? / What impact did the QCBS have on your academic and/or professional career so far? [Autres cours et ateliers / Other courses and workshops (Biodiversity Science course, QGIS, GIMP, SQL, etc.)]",Quel impact a eu le CSBQ sur votre parcours académique et/ou votre carrière jusqu'à maintenant? / What impact did the QCBS have on your academic and/or professional career so far? [Colloque annuel / Annual symposium],Quel impact a eu le CSBQ sur votre parcours académique et/ou votre carrière jusqu'à maintenant? / What impact did the QCBS have on your academic and/or professional career so far? [Réseau de chercheurs / Network of researchers],"Quel impact a eu le CSBQ sur votre parcours académique et/ou votre carrière jusqu'à maintenant? / What impact did the QCBS have on your academic and/or professional career so far? [Opportunités de leadership (postes de représentants, création d'ateliers, etc.) / Leadership opportunities (representative role, workshop creation, etc.)]","Si vous avez répondu ""fortement positif"" à une ou plusieurs des questions ci-dessus, SVP partagez un exemple d'impact positif qu'a eu le CSBQ sur votre parcours académique et/ou votre carrière. / If you answered ""strongly positive"" to any of the above, please share at least one example of how the QCBS has positively impacted your academic or professional career.",Comment évalueriez-vous l’influence du CSBQ sur votre développement en tant que chercheur(e)? / How would you rate the influence of the QCBS on your development as a researcher?,Combien de bourses avez-vous reçu du CSBQ? / How many awards have you received from the QCBS?," Si vous avez reçu une (ou plusieurs) bourses du CSBQ, qu’en avez-vous fait(es)? Si vous en avez reçu plusieurs, SVP partagez l'expérience qui vous a le plus bénéficié. / If you have received at least one award from the QCBS, what did you use it (or them) for? If you received many awards, please share your most beneficial experience.",Pensez-vous que les bourses du CSBQ vous ont permis d'accéder à des opportunités qui seraient autrement impossibles? / Do you think the QCBS awards allowed you to access opportunities that would otherwise have been impossible?,"Pour vous, le CSBQ c’est quoi en 2-3 mots? /What is the QCBS to you in 2-3 words?",Qu'est-ce que le CSBQ vous a apporté? / What have you gained from the QCBS?,Voulez-vous signer la lettre de soutien? / Would you like to sign the support letter?,Seriez-vous prêt à faire un témoignage vidéo? / Would you be interested in making a video testimonial?
3/4/2020 16:30:57,NA,Bishop's University,Post-Doc,1 - 2 ans/years,,,Neutre / Neutral,Neutre / Neutral,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Positif / Positive,"Le CSBQ est une plateforme unique pour créer/consolider un réseau professionnel et scientifique, permettant de développer des projets de recherche interdisciplinaires de haut niveau scientifique. Il est rare de trouver des centres où autant de disciplines se côtoient et se complémentent, avec au coeur de leur intérêt la connaissance et la préservation de la biodiversité, la formation d'étudiants gradués et de nouveaux chercheurs.",5,1,"La bourse reçue m'a permis d'assister à une conférence internationale qui a lieu tous les 4 ans. J'ai obtenu une bourse d'excellence du FRQNT qui couvre mon salaire post-doctoral, mais je ne possède aucun financement pour les frais associés à mes déplacements professionnels, à ma recherche ou à ma participation à des conférences scientifiques. Sans la bourse du CSBQ, je n'aurais probablement pas pu participer à cette conférence internationale (la 1ère de mon parcours post-doctoral), qui a été une exceptionnelle opportunité de réseautage et de partage scientifique pour moi.",4,"Un centre de recherche unique en son genre: hautement interdisciplinaire, dynamique, à forte valeure ajoutée pour les étudiants gradués et les post-doctorants et offrant des formations et une recherche de haut niveau! ",,Oui,No
3/4/2020 16:32:30,NA,McGill University,Ph.D.,> 2 ans/years,,,Positif / Positive,Fortement positif / Strongly positive,Ne s'applique pas / Does not apply,Positif / Positive,Positif / Positive,"J'ai participé au cours intensif sur la science de la biodiversité en 2017. J'y ai appris énomément, et surtout, j'ai pu créer des liens avec plusieurs chercheurs et étudiants-chercheurs.",5,1,Participer au cours intensif sur la science de la biodiversité du CSBQ,5,"Communauté, Réseau, Ressources","Le CSBQ m'a apporté plusieurs ressources et m'a offert plusieurs opportunités qui m'ont permis de grandir comme chercheur. J'ai pu à la fois profiter des différents ateliers en tant qu'étudiant, mais aussi comme présentateur. Le CSBQ m'a aussi offert de tisser des liens avec des chercheurs et étudiants au sein d'autres universités québécoises, des opportunités quasi-inexistantes autrement. Finalement, ce fût ma ressource principale afin de me tenir au courant des recherches sur la biodiversité qui se font au Québec.",Oui,No
3/4/2020 16:34:53,NA,McGill University,Ph.D.,< 1 an/year,6 mois/months - 1 an/year,I am a PhD student at McGill University.,Ne s'applique pas / Does not apply,Ne s'applique pas / Does not apply,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,"I assisted in organizing the QCBS 2019 symposium poster session, and it was a fantastic experience. Being able to interact with a diversity of researchers, in terms of field of study, home institution, and academic background, led to extremely fruitful conversations regarding my own PhD work. QCBS is a vibrant community, where all members are synergistically working and supporting one another -- this was exemplified with the planning and execution of the 2019 symposium. ",4,0,,3,"Cutting-edge, collaborative ","From the QCBS, I have gained a community of researchers that are all committed to improving human-environment interactions, and support each other's professional development in the process.",Oui,No
3/4/2020 16:42:56,NA,Université de Montréal,Ph.D.,< 1 an/year,6 mois/months - 1 an/year,,Positif / Positive,Positif / Positive,Positif / Positive,Positif / Positive,Neutre / Neutral,,5,1,"I was able to fund my research presentation at the last BES meeting in Belfast, UK. It was a indescribable experience where I had the opportunity to discuss my work with scientists I would otherwise never meet.",5,A unique opportunity.,"Self-confidence, knowledge and inspiration.",Oui,No
3/4/2020 16:51:23,NA,Université de Sherbrooke,M. Sc.,< 1 an/year,< 6 mois/months,Still a member!!!,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Positif / Positive,Ne s'applique pas / Does not apply,"Les ateliers m'ont permis d'acquérir une base de connaissance sur de nouveaux sujets. De là, j'ai pu aller chercher d'avantage de documentation et devenir autonome dans mon apprentissage.",5,0,,,réseau de chercheurs,,Oui,No
3/4/2020 16:58:49,NA,INRS-institut Armand Frappier,Ph.D.,1 - 2 ans/years,1 - 2 ans/years,Ph.D.,Fortement positif / Strongly positive,Positif / Positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,"Les ateliers R m'ont permis de débuter sur R avec de bonnes bases, ainsi que de me donner les outils pour traiter mes résultats pour les rendre publiables (validation de méthode moléculaire in-silico et tests statistiques). Le colloque annuel est pour moi un temps essentiel pour promouvoir et partager mon travail. Le colloque du CSBQ m'ouvre de nouveaux horizons grâce à la rencontre d'autres chercheurs et à la découverte de projets divers, pouvant amener à des collaborations et à de nouvelles perspectives dans mes projets futurs. Enfin, étant extrêmement satisfait du réseau CSBQ, j'ai souhaité saisir l'opportunité de devenir représentant local du CSBQ, m'apportant de nouvelles compétences de leadership. ",5,0,,,"Réseau, soutien, opportunité",,Oui,No
3/4/2020 16:59:32,NA,Université Laval,Ph.D.,< 1 an/year,< 6 mois/months,En rédaction,Ne s'applique pas / Does not apply,Ne s'applique pas / Does not apply,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Ne s'applique pas / Does not apply,Le colloque a été une belle opportunité de voir l'ensemble des efforts  dans le sens de la  protection de la biodiversité et d'avoir des échanges allumés entre différents chercheurs. ,3,0,,,Sharing same goals,Une  vue d'ensemble,Oui,No
3/4/2020 16:59:32,NA,Université du Québec à Rimouski,Post-Doc,> 2 ans/years,,,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,"Impact très très positif de pouvoir assister à des ateliers R (et postgreSQL) du CSBQ, et également de pouvoir les donner au sein de mon université, impact très positif du congrès annuel pour la diffusion de mes recherches et le réseautage",5,3 or more,"Impact immensément positif des bourses du CSBQ pour la participation à un workshop d'enregistrement acoustique (Cornell) et à deux conférences internationales durant mon doctorat, et à une rencontre de travail avec un collaborateur pendant mon postdoctorat. Ces opportunités ont constitué des expériences primordiales pour parfaire mon profil scientifique, et n'auraient pas pu être réalisées sans le soutien financier du CSBQ.",5,Un générateur d'oppotunités étudiantes,"Une expérience de formation et de travail à l'international, la possibilité de présenter mes recherches dans des congrès spécialisés à l'international, l'opportunité de présenter mes recherches à un large public au niveau national, le sentiment d'appartenance à un très beau réseau de scientifiques québecois",Oui,Yes
3/4/2020 17:02:08,NA,Université du Québec à Montréal,Ph.D.,> 2 ans/years,> 2 ans/years,Etudiant au doctorat,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Positif / Positive,Neutre / Neutral,Me permettre d'avancer dans les analyses de ma thèse.,4,0,,,,,Oui,
3/4/2020 17:03:09,NA,Université du Québec à Rimouski,Ph.D.,> 2 ans/years,,,Ne s'applique pas / Does not apply,Ne s'applique pas / Does not apply,Positif / Positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,"Grâce au financement offert par le CSBQ, j'ai pu participer à différents groupe de travails qui m'ont permis de discuter avec différents chercheurs d'approches plus intégratives en science. Le CSBQ m'a également fortement soutenue financièrement lors de mon stage en Suède à la maîtrise, ce qui a grandement favorisé la réussite de ma maîtrise et m'a permis de développer mon réseau de collaboration à l'international. ",4,2,J'ai reçu une bourse du CSBQ de type stage international qui a grandement contribué à financer mon stage en Suède. Ce stage a fait toute la différence dans mon projet de maîtrise et m'a permis de développer des techniques et outils qui me sont fortement utiles aujourd'hui au doctorat. Le financement de groupe de travail (projet d'équipe) m'a quant à lui permis de développer des projets intégrateurs avec d'autres chercheurs membres du CSBQ. ,5,"Regroupement, biodiversité, formatif","Des opportunités uniques, autant financièrement qu'au niveau scientifique, puisque le CSBQ facilite les discussions entre les chercheurs membre de son réseau. ",Oui,No
3/4/2020 17:10:02,NA,Université de Sherbrooke,Post-Doc,1 - 2 ans/years,6 mois/months - 1 an/year,,Positif / Positive,Ne s'applique pas / Does not apply,Ne s'applique pas / Does not apply,Positif / Positive,Ne s'applique pas / Does not apply,,3,0,,3,"Formation, réseautage, collaboration",Probably the two biggest benefits were the training (short course on meta-analysis) and the sense of belonging to a community of scientists in Québec (which I valued as an international researcher),Oui,No
3/4/2020 17:12:08,NA,Université du Québec en Outaouais,Ph.D.,> 2 ans/years,,,Ne s'applique pas / Does not apply,Positif / Positive,Positif / Positive,Fortement positif / Strongly positive,Positif / Positive,,5,2,Le prix d'excellence du CSBQ m'a permis de suivre une formation pour renchérir un volet de la recherche doctorale ,5,Échange et acquisition de compétence,Un soutien académique ,Oui,No
3/4/2020 17:13:12,NA,Université de Montréal,Ph.D.,> 2 ans/years,,,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Positif / Positive,Positif / Positive,,5,3 or more,Les bourses m'ont permis d'aller récolter des échantillons pour mon projet de recherche et à faire un stage à l'étranger,5,Un organisme de support aux étudiants en biologies ,Support financier et réseaux d'interactions avec d'autres biologistes,Oui,No
3/4/2020 17:18:05,NA,,,,< 6 mois/months,Scientific Research,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,"Without the support and network of QCBS I would not have found my research supervisor, nor would I have been able to delve into statistical analysis due to their R workshops. More so, being a student member of QCBS during my undergrad allowed me the opportunity to be apart of the North American Dialogue on Biocultural Diversity.  Being able to attend such a monumental gathering that was backed by the UN and the Convention on Biological Diversity would not have been possible had QCBS not existed. Through that dialogue I was able to gain tremendous insight into much research that was needed, as well as actions required. It also allowed for my exposure to many strong and powerful indigenous voices. This conference had a strong and lasting impact on me as a scientist, research, and citizen. It has shaped my research,  my goals, and my motivations.  None of this knowledge, nor network would have been accessible or possible without QCBS. ",5,0,,5,"Research, network, education ","As I take the next step towards my Master's, the impact that QCBS had on my career cannot be emphasized enough. Thanks to QCBS I was able  o develop in depth skills in terms of statistical analysis through the QCBS R workshop. As well their QGIS seminars have opened so many doors for me as I pursue higher education.  But more than just the amazing workshops, annual conference, the concrete and usable knowledge gained, is also the network, the community that this outstanding organization has fostered. Having access to other researchers, to mentors, to knowledgeable experts, all quick to help do to us being apart of such a strong organization, this has had benefits that are hard to put into words. I beg of FQRNT, do not cut funding for this amazing organization, it has helped so many of the Quebec student population, in too many ways to mention. In direct and indirect, it has help push our voices and deepen our research. Please do not remove this opportunity for the students of tomorrow, especially in such a crucial time for the environment. ",Oui,Yes
3/4/2020 17:18:05,NA,Université de Montréal,Ph.D.,1 - 2 ans/years,< 6 mois/months,,Fortement positif / Strongly positive,Ne s'applique pas / Does not apply,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,"J'ai participé à un cours de programmation R, et j'ai présenté plusieurs fois mes travaux de recherche et eu un retour enrichissant sur mon travail, ainsi que partagé des idées palpitantes avec d'autres chercheur.ses et étudiant.es. J'aimerai aussi m'impliquer pour vulgariser la science via le Beagle et en suivant les activités de rédaction de vulgarisation.",5,0,,,"apprendre, partager, et enrichir","Le CSBQ c'est une communauté active pour apprendre, partager, et enrichir les connaissances sur les sciences du vivant, dans une période des plus critiques pour la biodiversité. C'est maintenant qu'il faut multiplier les efforts pour mieux comprendre, et agir pour la préservation de la biodiversité. Avoir le sentiment d'appartenir à une telle communauté de scientifiques est d'une motivation considérable pour mes travaux de recherche. ",Oui,No
3/4/2020 17:23:57,NA,Université de Montréal,Ph.D.,1 - 2 ans/years,1 - 2 ans/years,PhD at the centre for biodiversity / irbv ,Positif / Positive,Positif / Positive,Positif / Positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Workshops help with data analyses in research project; good opportunities given to get involved in scientific communication /other projects,4,0,,3,"Networking, learning, teaching",My current phd supervisor was found through qcbs,Oui,No
3/4/2020 17:33:06,NA,Concordia University,M. Sc.,1 - 2 ans/years,1 - 2 ans/years,MSc,Fortement positif / Strongly positive,Ne s'applique pas / Does not apply,Fortement positif / Strongly positive,Positif / Positive,Ne s'applique pas / Does not apply,QCBS has positively impacted my academic and/or professional career because I was able to share my research and network with other scientists with common interests.,5,1,"I received the Excellency Award to help fund 
my internship at the Kutuharju Field Reindeer Research Station in Kaamanen, Finland which helped me develop skills in field techniques to aid in my research.",5,Opportunity,"Knowledge, experience, passion",Oui,No
3/4/2020 17:39:06,NA,Concordia University,Post-Doc,> 2 ans/years,,,Positif / Positive,Positif / Positive,Positif / Positive,Positif / Positive,,,3,0,,,Provinces must have,,Oui,No
3/4/2020 17:40:44,NA,McGill University,Post-Doc,> 2 ans/years,6 mois/months - 1 an/year,I’m an Advisor for the Office of Research and Innovation,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Positif / Positive,Fortement positif / Strongly positive,The exposure to the local network of experts on a plethora of domains in biodiversity science enriched every aspect of my academic training. ,5,3 or more,Without these awards (individually and collectively) I would have not been able to attend to courses and workshops that were indispensable for conducting my research as a PhD and Postdoc. ,5,An empowering  community ,A strong analytical skillset. A network of colleagues and collaborators across disciplines.,Oui,Yes
3/4/2020 17:49:55,NA,Université du Québec à Rimouski,M. Sc.,> 2 ans/years,> 2 ans/years,Maîtrise,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Accès à du soutien et des aides financières ,5,1,Participation à un congrès international,5,"Contacts, ressources, soutien","Du soutien dans mes études, via les aides financières et les ateliers R et les colloques",Oui,No
3/4/2020 17:55:39,NA,Université Laval,M. Sc.,1 - 2 ans/years,1 - 2 ans/years,je finis ma maîtrise,Positif / Positive,Positif / Positive,Positif / Positive,Neutre / Neutral,Neutre / Neutral,"Le QCBS fut la seule manière pour moi d'apprendre à utiliser R, un programme essentiel pour l'analyse statistique. Je ne sais pas comment j'aurais fait sans eux! ",4,0,,3,De super ateliers de formation pour les étudiants! ,quelques contacts de plus! ,Oui,No
3/4/2020 17:59:32,NA,McGill University,Ph.D.,> 2 ans/years,< 6 mois/months,Post doc,Fortement positif / Strongly positive,Positif / Positive,Positif / Positive,Fortement positif / Strongly positive,Ne s'applique pas / Does not apply,R and stats workshops that are created by and lead by students for other students has provided me the opportunity and a existing platform to transfer the knowledge and skills that I have learnt through my work to the next generation. Through this I have built a larger network within which I interact as a researcher. These workshops build a stronger community amongst students working in the natural sciences in Quebec.,5,1,"I used a QCBS excellence award to attend a week long workshop on complex network science, a field that I was interested in expanding my research into.  Without this award, I would not have been able to attend this workshop and learn about network analysis. ",5,research community,I have gained considerable teaching experience through the R workshops and access to professionals who are knowledgable enough to assist me on statistical analysis that made my project possible. ,Oui,No
3/4/2020 18:02:49,NA,Université du Québec à Montréal,Ph.D.,> 2 ans/years,> 2 ans/years,Doctorat,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Le cours en R m‘ont aidé beaucoup pour faire mes analyses,5,0,,,"Formation, échange ",Opportunités de formation qui seraient pas accessible san le CSBQ ,Oui,Yes
3/4/2020 18:18:11,NA,Université de Sherbrooke,Ph.D.,1 - 2 ans/years,1 - 2 ans/years,,Fortement positif / Strongly positive,Ne s'applique pas / Does not apply,Positif / Positive,Positif / Positive,Ne s'applique pas / Does not apply,ma remise à niveau sur R,4,0,,,,,Oui,No
3/4/2020 18:24:59,NA,Université du Québec à Chicoutimi,Ph.D.,> 2 ans/years,> 2 ans/years,Étudiante au doctorat,Fortement positif / Strongly positive,Ne s'applique pas / Does not apply,Positif / Positive,Positif / Positive,Ne s'applique pas / Does not apply,Les ateliers R du CSBQ m'ont permis de me familiariser avec l'environnement R. Je comprends maintenant les bases et j'ai utilisé les connaissances acquises pour ma thèse et mes publications.,5,0,,,,,Oui,No
3/4/2020 18:39:31,NA,INRS-institut Armand Frappier,Ph.D.,> 2 ans/years,,,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Positif / Positive,Positif / Positive,"Le CSBQ m'a permis d'assister à de Conférences Internationales (Alemagne) et locales (Canadiens) à l'étrangère pour enrichir mon CV, mes contactes professionnels et pouvoir communiquer mes recherches. Aussi, au cours des années j'ai pu participer à des colloques organisés par le CSBQ, ainsi comme des ateliers et cours intensifs qui ont fortement contribué à mon development professionnel, en me fournissant des outils d'analyse, de recherche, de travail en générale de façon gratuite ou quasiment la plupart du temps, en plus de facilité les échanges entre étudiants et chercheurs des domaines similaire de recherche. Ces échanges ont fourni des synergies spécialement importantes pour résoudre des problèmes ou travailler de façon collaborative. Le CSBQ occupe un niche absolument nécessaire pour les étudiantes en sciences de la biodiversité, quelque soit leur spécialité, car  ils sont toujours là pour nous aider avec une panoplie de ressources variés pour tous les besoins. ",5,3 or more,"J'ai eu la chance de recevoir deux bourses pour assister aux congrès, dont un en Allemagne et un autre à Saskatchewan. Aussi, j'ai reçu un prix pour participer au cours intensif de biodiversité de 10 jours. Dans les trois cas, mon expérience avec le CSBQ a été fortement positive, en me permettant notamment de élargir mon réseau professionnel et communiquer les résultats de ma recherche. ",5,"opportunités, developement, carrière","La chance de rencontrer des professionnels de mon domaine dans l'aire metropolitaine de Montréal, sans doute un des choses les plus utiles que je garderai après ma graduation et qui me servira le plus dans ma recherche de travail. J'ai developé mon expertise dans les analyse des données, grace aux cours et ateliers, toujours gratuites, offerts par le QCBS, sans lesquels, aujourd'hui je ne serai pas un personne de reference dans l'analyse de données génomiques parmi mes collègues à l'institut. Sans le CSBQ, mes aptitudes professionnelles seront beaucoup plus affaiblies à la fin de mon doctorat, parce que tous les cours qu'on peut trouver en dehors de ce réseau précieux sont payants, et en tant qu'étudiant, je n'aurais pas pu me permettre developer ces outils. ",Oui,Yes
3/4/2020 21:19:04,NA,Université de Sherbrooke,Post-Doc,> 2 ans/years,< 6 mois/months,I am still a post-doc,Fortement positif / Strongly positive,Positif / Positive,Ne s'applique pas / Does not apply,Positif / Positive,Ne s'applique pas / Does not apply,The R workshops were great.,4,0,,,research network,,Oui,No
3/4/2020 22:18:49,NA,McGill University,Ph.D.,> 2 ans/years,1 - 2 ans/years,,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,"Academic and financial support, networking, long-term collaborations",5,1,International inter-institutional collaboration,5,"Development, Science, Research, Collaboration","Knowledge, networking, financial opportunities ",Oui,No
3/4/2020 22:30:22,NA,Université de Montréal,Ph.D.,< 1 an/year,,,Positif / Positive,Positif / Positive,Positif / Positive,Positif / Positive,Ne s'applique pas / Does not apply,,4,0,,,,,Oui,No
3/5/2020 3:20:27,NA,Université Laval,Ph.D.,1 - 2 ans/years,,,Fortement positif / Strongly positive,Ne s'applique pas / Does not apply,Ne s'applique pas / Does not apply,Positif / Positive,Fortement positif / Strongly positive,"Le CSBQ m'a donné l'opportunité de créer et présenter un atelier R, ce qui m'a donné de l'expérience en enseignement. J'ai aussi pu apprendre plusieurs nouveau outils, ce qui renforce mes connaissances statistiques. ",4,0,,5,"réseau, inspiration, progrès","Un réseau important de chercheurs et d'étudiants, ce qui était d'autant plus important car je venais d'arriver au Québec",Oui,Yes
3/5/2020 6:14:17,NA,McGill University,Ph.D.,> 2 ans/years,,,Fortement positif / Strongly positive,Ne s'applique pas / Does not apply,Ne s'applique pas / Does not apply,Fortement positif / Strongly positive,Ne s'applique pas / Does not apply,"Les ateliers statistiques et la présence d’un chercheur associé spécialisé en analyses statistiques et spatiales a permis à chacun des étudiants de mon laboratoire de perfectionner l’analyses de leurs résultats et d’en assurer la qualité et la justesse pour ainsi renforcer les conclusions et les découvertes. Le monde des analyses statistiques et du logiciel R évolue rapidement. L’atelier R et la présence de Guillaume Larocque, chercheur associé me permet de développer mes habiletés et recevoir des formations de qualités en analyses statistiques ce qui n’existe pas autrement (aucun cours offert) a l’université",4,0,,4,Réseau collaboration et apprentissage ,Encadrement et formation en analyse statistiques (R),Oui,No
3/5/2020 6:22:53,NA,Université de Sherbrooke,Ph.D.,> 2 ans/years,> 2 ans/years,Etudiante au doctorat,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Positif / Positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,"Les ateliers R m'ont permis de passer de néophyte effrayée par le code à personne qui maîtrise plusieurs techniques stats et le codage qui y correspond...
Les autres formations m'ont permis de découvrir des logiciels utiles, pas forcément pour mon doctorat mais pour développer des compétences techniques pour ma carrière après.
Le réseau a facilité le contact avec des personnes ayant des compétences qui m'ont aidée pour mon doctorat.
Animer des ateliers R a été ma seule possibilité de me confronter à l'enseignement au cours de mon doctorat.",5,2,"J'ai reçu 2 bourses d'excellence, qui m'ont permis de couvrir une partie des frais engagés pour participer à 2 congrès internationaux. Sans ces bourses, je n'aurais probablement pu participer qu'à un congrès, car en tant qu'étudiante internationale les possibilités de financement sont très réduites. Ces deux congrès m'ont permis d'avoir des retours très constructifs sur le matériel présenté, d'élargir mon réseau, et d'échanger avec de nombreuses personnes qui m'ont permis de progresser sur mon doc mais aussi en tant que chercheuse.",5,"réseau, outils, dans un cadre scientifique de pointe","des compétences techniques, un réseau, un appui pour progresser dans mon doc, matière à évoluer en tant que chercheuse",Oui,No
3/5/2020 6:27:49,NA,Université de Sherbrooke,Post-Doc,> 2 ans/years,> 2 ans/years,Postdoctoral researcher at University of Helsinki,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,Fortement positif / Strongly positive,"Les ateliers R m'ont permis de progresser en programmation et en statistique. Ces ateliers m'ont également permis d'enseigner et de me pratiquer à la pédagogie de l'enseignement. Ils ont été également un complément de salaire considérable durant mon doctorat. 
Ces ateliers ont été extrêmement bénéfiques pour ma progression en tant qu'enseignant/chercheur. 

Le cours intensif sur la biodiversité du Québec, a été un tournant dans mon parcours académique, il m'a ouvert des perspectives inconnues avant cela et m'a fait rencontrer un grand nombre d'étudiants et chercheurs aujourd'hui encore amis ou collaborateurs.

Le colloque annuel du CSBQ permet aux étudiants de présenter leurs travaux dans un cadre académique d'exception.  Le niveau scientifique est excellent, l'exigence est grande tout cela dans un cadre amicale, décomplexé et très accessible. Pour un étudiant en début de carrière en recherche, ce colloque est une très belle manière de se confronter à la présentation scientifique sans l'angoisse des colloques internationaux très compétitifs. 

Le réseau des chercheurs du CSBQ m'a permis de faire des collaborations pendant mon doctorat, de faire des échanges et rencontrer un très grand nombre de chercheurs. Le réseau encourage grandement les interactions et soutiens tout type d'initiative étudiante.

J'ai eu la chance d'être représentant étudiant de l'université de Sherbrooke pendant plus de 4 ans et d'être représentant global pendant un an. Avec l'autre représentant global, devenu ami  nous avons  organisé un workshop sur les méta-analyses. Le soutien du CSBQ tant sur le plan financier Qu'organisationnel a permis l'organisation et le bon déroulement du workshop. Toutes les initiatives étudiantes sont considéré et évalué pour maximiser le retour à l'échelle du réseau, tant pour le développement des carrières étudiantes que sur le plan de la stimulation scientifique. 

Le réseau du CSBQ est un lieu unique de rencontre, discussion et partage. Il permet le financement de manifestation scientifique et académique. Il soutient les étudiants dans leurs développements scientifiques. Le CSBQ offre un soutien financier aux étudiants et plus important encore il offre une exceptionnelle occasion de s'impliquer dans un réseau national. La direction du CSBQ est accessible et communique bien. Le financement du CSBQ donne l'occasion à la province de Québec de construire une institution forte, dynamique et perenne autour des questions de Biodiversité. En ces temps de grands changements écologiques, ce centre est un partenaire incontournable d'une politique d'action. Il est l'interlocuteur de choix pour répondre aux enjeux scientifiques, sociaux et politiques à l'échelle national et plus largement dans le monde francophone. 

",5,3 or more,"Grâce au CSBQ, j'ai eu la chance de financer un cours intensif sur la biodiversité, deux missions de terrain, un workshop et de nombreux atelier R. Ces soutiens financiers ont été d'une grande aide dans mon doctorat. Le financement du workshop sur les méta-analyses a été une expérience très bénéfique dans mon développement personnel, notamment du point du vu du leadership. ",5,Une chance unique pour l'académie Québécoise d'unir ses forces autours d'un réseaux fort et respecté. ,"Un développement de compétence, des expériences d'enseignements, des rencontres et des collaborations, l'opportunité une implication étudiante utile et efficace, l'occasion de développé mon leadership, un soutien financier très apprécié, le moyen de diffuser mes travaux de recherche, organiser des manifestation scientifiques...",Oui,Yes
3/5/2020 7:48:57,NA,Université du Québec à Montréal,Ph.D.,1 - 2 ans/years,1 - 2 ans/years,PhD in Environmental Sciences,Fortement positif / Strongly positive,Ne s'applique pas / Does not apply,Ne s'applique pas / Does not apply,Ne s'applique pas / Does not apply,Positif / Positive,Les ateliers de R été essentiel pour moi car il m'a donné les bases que j'avais besoin pour commencer à utiliser R et mes analyses statistiques. Il es très bien expliqué et il devrait se faire aussi à distance (par zoom) pour étudiants d'autres universités du réseau UQ qui voudront participer.,5,0,,,Un besoin,Connaissances en R et en statistique,Oui,No
3/5/2020 8:04:19,NA,,,,> 2 ans/years,Professionnel de recherche en phytoprotection,Positif / Positive,Positif / Positive,Ne s'applique pas / Does not apply,Positif / Positive,Ne s'applique pas / Does not apply,,,0,,,Transfert connaissances,,Oui,No
3/5/2020 8:04:26,NA,,,,> 2 ans/years,Professionnel de recherche en phytoprotection,Positif / Positive,Positif / Positive,Ne s'applique pas / Does not apply,Positif / Positive,Ne s'applique pas / Does not apply,,,0,,,Transfert connaissances,,Oui,No
